Message 83: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000000 sec
Message 84: Sent 1400 bytes, Received 1806 bytes, RTT: 0.000000 sec
Message 85: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 86: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 87: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 88: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 89: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 90: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 91: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 92: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 93: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 94: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 95: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000000 sec
Message 96: Sent 1400 bytes, Received 1806 bytes, RTT: 0.000000 sec
Message 97: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 98: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 99: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 100: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec

TCP Test Summary:
Average RTT: 0.000075 sec
Throughput: 18682274.19 bytes/sec
